year,hires,terminations,net_change,net_change_percent
2000,220,31,189,85.91
2001,1122,203,919,81.91
2002,1067,174,893,83.69
2003,1142,199,943,82.57
2004,1135,203,932,82.11
2005,1097,183,914,83.32
2006,1118,183,935,83.63
2007,1090,150,940,86.24
2008,1108,144,964,87.00
2009,1140,155,985,86.40
2010,1099,131,968,88.08
2011,1101,114,987,89.65
2012,1103,111,992,89.94
2013,1105,98,1007,91.13
2014,1053,92,961,91.26
2015,1059,79,980,92.54
2016,1122,69,1053,93.85
2017,1091,57,1034,94.78
2018,1147,51,1096,95.55
2019,1083,52,1031,95.20
2020,1012,28,984,97.23
